target,period
TIC317470793,0.4174331
TIC31779608,0.5056946
TIC318185328,0.3683055
TIC318210930,0.2277127
TIC318210930_2,0.2277167
TIC318868129,0.3751679
TIC318966048,0.2306676
TIC319291434,0.3512605
TIC32000625,0.7017512
TIC32008233,0.1416123
TIC320173862,0.1980963
TIC320268279,0.4507372
TIC320323992,0.2428955
TIC320536498,0.4106313
TIC32200310,0.3604377
TIC322055767,0.3775009
TIC322347559,0.4800216
TIC322390461,0.3868962
TIC322512913,0.4588608
TIC32268776,0.4762141
TIC32284829,0.4642528
TIC323295967,0.424537
TIC32543789,0.3191196
TIC326242641,0.1824645
TIC32830028,0.516153
TIC329118239,0.5633637
TIC329246824,0.5876813
TIC329289186,0.5525069
TIC330753460,0.3794957
TIC331201939,0.5545263
TIC331377569,0.4542885
TIC332277332,0.1966711
TIC332517282,0.402493
TIC332600127,0.560476
TIC332910986,0.643465
TIC333620087,0.3793248
TIC335499997,0.4328032
TIC335720078,0.3779939
TIC33576348,0.4438332
TIC336208030,0.5776499
TIC336485975,0.318923
TIC336778418,0.693403
TIC336931938,0.379872
TIC33742828,0.3769712
TIC339752629,0.397421
TIC340135575,0.582766
TIC340704073,0.3136675
TIC340782794,0.3799152
TIC34082428,0.4338925
TIC34107676,0.34015
TIC34142502,0.2082084
TIC34145330,0.6404922
TIC341525754,0.1567088
TIC342025025,0.4650738
TIC345451479,0.4430221
TIC345482340,0.36507
TIC345535359,0.4247954
TIC346073081,0.6958249
TIC346429188,0.3311382
TIC347552724,0.5360809
TIC348717439,0.4794003
TIC348897766,0.4420565
TIC349294422,0.310388
TIC349484636,0.3719685
TIC349911034,0.5384816
TIC350025490,0.6268532
TIC350478924,0.4370846
TIC350716073,0.3931603
TIC352012002,0.6671181
TIC352378412,0.6760259
TIC352940699,0.3650807
TIC353565609,0.3804039
TIC355544723,0.1545267
TIC355601553,0.4299469
TIC355635441,0.392583
TIC355651035,0.5842278
TIC356001283,0.2687247
TIC356150515,0.6121521
TIC356198153,0.4681811
TIC356199330,0.3466258
TIC356630364,0.5567699
TIC357040925,0.5140399
TIC357111084,0.2528995
TIC357372327,0.4205147
TIC357398957,0.4777678
TIC357398958,0.4777631
TIC35744707,0.3464465
TIC357744369,0.4843678
TIC358022169,0.1516228
TIC358465355,0.5706513
TIC359676320,0.4975785
TIC359677968,0.617472
TIC360205899,0.4285519
TIC36077464,0.1728147
TIC363885457,0.3517662
TIC364325969,0.4198945
TIC364965655,0.2642641
TIC365034219,0.3777057
TIC365070861,0.3776547
TIC365198355,0.55875
TIC365301387,0.2753563
TIC365613123,0.4849286
TIC366517381,0.5446193
TIC366557556,0.4487763
TIC36729364,0.327482
TIC367681735,0.2567958
TIC367683204,0.2206848
TIC368452480,0.5495789
TIC36883123,0.3352718
TIC369218857,0.3275155
TIC369586828,0.0820144
TIC369639876,0.2894613
TIC370101325,0.5090886
TIC371066950,0.6312793
TIC371738956,0.2687508
TIC372366518,0.5586036
TIC373414766,0.6851178
TIC374265995,0.3318931
TIC374828411,0.2828824
TIC376023519,0.3643775
TIC376593757,0.4779766
TIC376689171,0.5210691
TIC377251803,0.5713695
TIC377253090,0.4245313
TIC377296926,0.4313879
TIC379806358,0.4307893
TIC380127556,0.4510887
TIC38021254,0.5126235
TIC380659334,0.3494674
